Time,Open,High,Low,Last,Change,Volume
05/16/17 12:00,20995.75,21004.71,20985.33,20990.92,-4.83,28207618
05/16/17 11:00,20954.29,21008.1,20942.91,20995.75,41.36,37340945
05/16/17 10:00,21022.08,21026.22,20932.88,20954.39,-68.15,57690476
05/16/17 09:00,20984.48,21033.53,20984.48,21022.54,40.6,37688538
05/15/17 16:00,20982.04,20983,20981.87,20981.94,0.41,53925304
05/15/17 15:00,20970.43,20991.5,20965.92,20981.53,11.1,62957209
05/15/17 14:00,20992.78,20992.78,20967.11,20970.43,-22.35,29372414
05/15/17 13:00,20980.32,21000.83,20977.22,20992.78,12.3,25657476
05/15/17 12:00,20974.16,20985.88,20972.91,20980.48,6.54,24363107
05/15/17 11:00,20981.03,20989.29,20966.33,20973.94,-7.01,32832601
05/15/17 10:00,20965.74,20988.76,20962.49,20980.95,15.19,41682250
05/15/17 09:00,20927.12,20971.02,20924.18,20965.76,69.15,39049586
2005-12-17 16:00,20892.19,20896.61,20892.19,20896.61,3.02,28896968
2005-12-17 15:00,20885.39,20893.59,20870.52,20893.59,8.18,58691042
2005-12-17 14:00,20888.5,20892.5,20876.17,20885.41,-3.11,28723501
2005-12-17 13:00,20887.52,20891.21,20875.42,20888.52,1.06,27390959
2005-12-17 12:00,20896.3,20897.07,20883.7,20887.46,-8.77,25008534
2005-12-17 11:00,20879.15,20916.1,20874.37,20896.23,16.99,32909483
2005-12-17 10:00,20889.28,20902.21,20869.74,20879.24,-11.5,46929039
2005-12-17 9:00,20893.19,20899.79,20875.19,20890.74,-28.68,36139102
2005-11-17 16:00,20919.21,20920.24,20919.21,20919.42,-2.17,37379665
2005-11-17 15:00,20911.32,20924.3,20904.43,20921.59,10.1,49644407
2005-11-17 14:00,20909.67,20933.36,20891.94,20911.49,1.82,28623781
2005-11-17 13:00,20887,20912.4,20883.93,20909.67,22.57,21920895
2005-11-17 12:00,20857.34,20905.1,20857.34,20887.1,29.83,23092022
2005-11-17 11:00,20835.16,20867.39,20834.59,20857.27,22,31154505
2005-11-17 10:00,20826.52,20838.1,20798.9,20835.27,9.06,49314993
2005-11-17 9:00,20925.72,20925.72,20806.37,20826.21,-116.9,34808451
2005-10-17 16:00,20940.73,20943.6,20940.65,20943.11,1.48,36825495
2005-10-17 15:00,20918.66,20944.95,20918.66,20941.63,22.88,60310501
2005-10-17 14:00,20942.3,20942.94,20884.15,20918.75,-23.55,31143743
2005-10-17 13:00,20958.04,20963.15,20937.89,20942.3,-15.73,24027991
2005-10-17 12:00,20953.1,20961.95,20950.74,20958.03,4.76,22089024
2005-10-17 11:00,20941.13,20976.28,20936.74,20953.27,12.21,28039239
2005-10-17 10:00,20927.86,20948.86,20905.26,20941.06,12.68,44098579
2005-10-17 9:00,20958.49,20958.49,20906.45,20928.38,-47.4,33025397
2005-09-17 16:00,20975.64,20975.92,20974.34,20975.78,0,42318962
